filename,compartment_count,confidence,x_centers,frame_offset_sec,method,notes
2026-07-01-06-11.mp4,5,1.0,185;265;345;425;505,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker truck."
2026-07-01-06-21.mp4,5,1.0,105;225;345;465;585,60.0,offset_60,"The compartment heads are visible as evenly spaced, slightly raised circular protrusions along the top ridge of the tanker."
2026-07-01-06-41.mp4,5,1.0,135;235;335;435;535,60.0,offset_60,"The compartment heads are visible as a series of evenly spaced, slightly raised circular structures along the top ridge of the tanker truck, partially obscured by the perspective and the loading rack equipment."
2026-07-01-06-51.mp4,4,1.0,125;265;405;545,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced circular protrusions along the top ridge of the tanker."
2026-07-01-07-01.mp4,5,1.0,45;175;315;455;595,60.0,offset_60,"The compartment heads are visible as small, evenly spaced domed protrusions along the top ridge of the tank. There are 5 distinct protrusions visible across the frame."
2026-07-01-07-11.mp4,5,1.0,45;175;305;435;565,60.0,offset_60,"The compartment heads are visible as small, evenly spaced domed protrusions along the top ridge of the tank. There are 5 distinct heads visible."
2026-07-01-07-21.mp4,5,1.0,115;225;335;445;555,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tank."
2026-07-01-07-31.mp4,5,1.0,105;225;345;465;585,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tank."
2026-07-01-07-41.mp4,5,1.0,105;225;345;465;585,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-07-51.mp4,5,1.0,105;225;345;465;585,322,binary_search,retry_3calls
2026-07-01-08-01.mp4,5,1.0,105;225;345;465;585,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker. Due to the perspective and the vertical loading arms obscuring parts of the view, these coordinates represent the estimated centers of the 5 visible compartments."
2026-07-01-08-11.mp4,5,1.0,105;225;345;465;585,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced circular protrusions along the top ridge of the tanker. Their centers are estimated based on the visible spacing."
2026-07-01-08-21.mp4,5,1.0,105;225;345;465;585,60.0,offset_60,"The compartment heads are visible as small, evenly spaced domed protrusions along the top ridge of the tank. Due to the perspective and image quality, these are identified as the distinct circular features spaced across the top edge."
2026-07-01-08-31.mp4,4,1.0,115;255;405;550,60.0,offset_60,The compartment heads are visible as distinct circular protrusions along the top ridge of the tank. Four are clearly identifiable across the frame.
2026-07-01-08-41.mp4,5,1.0,105;225;345;465;585,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker. Their centers are estimated based on the visible spacing across the 640px width."
2026-07-01-08-51.mp4,5,1.0,125;235;345;455;565,60.0,offset_60,"The compartment heads are visible as small, evenly spaced protrusions along the top ridge of the tank. Due to the perspective and image quality, these are estimated based on the visible spacing."
2026-07-01-09-01.mp4,5,1.0,115;235;355;475;595,60.0,offset_60,"The compartment heads are visible as small, evenly spaced protrusions along the top ridge of the tank. Due to the perspective and image quality, these are identified as the distinct bumps along the upper silhouette."
2026-07-01-09-11.mp4,4,1.0,105;255;405;555,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker. Four are clearly identifiable in this view."
2026-07-01-09-21.mp4,5,1.0,355;405;455;505;555,60.0,offset_60,"The compartment heads are visible as a series of five distinct, evenly spaced domed protrusions along the top ridge of the tanker truck."
2026-07-01-09-31.mp4,5,1.0,135;215;295;375;455,60.0,offset_60,"The compartment heads are visible as evenly spaced, slightly raised circular protrusions along the top ridge of the tank."
2026-07-01-09-41.mp4,3,1.0,455;525;595,60.0,offset_60,The compartment heads are visible as three distinct domed protrusions along the top ridge of the green tank section.
2026-07-01-09-51.mp4,4,1.0,115;265;415;565,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tank, partially obscured by vertical loading dock structures."
2026-07-01-10-01.mp4,5,1.0,115;235;355;475;595,60.0,offset_60,"The compartment heads are visible as evenly spaced domed protrusions along the top ridge of the tanker. Due to the perspective and image quality, these are estimated based on the repeating pattern along the top edge."
2026-07-01-10-11.mp4,4,1.0,145;285;425;565,60.0,offset_60,"The compartment heads are visible as evenly spaced, slightly raised circular protrusions along the top ridge of the tank. Due to the perspective and image quality, these are identified as the four distinct humps along the upper edge."
2026-07-01-11-11.mp4,5,1.0,528;550;572;594;616,334.0,offset_60,"The compartment heads are visible as a series of small, evenly spaced circular protrusions along the top ridge of the tanker truck on the right side of the image."
2026-07-01-11-21.mp4,5,1.0,68;185;302;418;535,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tank."
2026-07-01-11-31.mp4,5,1.0,65;185;305;425;545,60.0,offset_60,"The compartment heads are visible as evenly spaced, slightly raised circular protrusions along the top ridge of the tanker. Five distinct heads are identifiable across the frame."
2026-07-01-11-41.mp4,5,1.0,105;225;345;465;585,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced protrusions along the top ridge of the tank."
2026-07-01-16-21.mp4,5,1.0,550;570;590;610;630,60.0,offset_60,"The compartment heads are visible as a series of small, evenly spaced protrusions along the top ridge of the tanker truck on the right side of the image."
2026-07-01-16-31.mp4,5,1.0,65;185;305;425;545,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-16-41.mp4,5,1.0,45;175;305;435;565,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker. Their centers are estimated based on the spacing across the 640px width."
2026-07-01-16-51.mp4,5,1.0,105;235;365;495;625,60.0,offset_60,"The image shows the top of a tanker truck with 5 distinct circular compartment heads visible along the ridge, spaced relatively evenly across the frame."
2026-07-01-17-01.mp4,5,1.0,105;225;345;465;585,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker. Five are clearly identifiable."
2026-07-01-17-11.mp4,4,1.0,115;265;415;565,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-17-21.mp4,5,1.0,125;235;345;455;565,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced protrusions along the top ridge of the tank."
2026-07-01-17-31.mp4,5,1.0,65;185;315;445;575,60.0,offset_60,"The compartment heads are visible as distinct, evenly spaced circular protrusions along the top ridge of the tank, partially obscured by vertical loading pipes."
2026-07-01-17-41.mp4,5,1.0,68;195;325;455;585,180,binary_search,retry_1calls
2026-07-01-17-51.mp4,5,1.0,68;185;302;419;536,180,binary_search,retry_1calls
2026-07-01-18-01.mp4,5,1.0,74;188;302;416;530,180,binary_search,retry_1calls
2026-07-01-18-11.mp4,5,1.0,105;215;325;435;545,385,binary_search,retry_1calls
2026-07-01-18-21.mp4,5,1.0,105;215;325;435;545,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-18-31.mp4,5,1.0,115;235;355;475;595,60.0,gemini-3-flash-preview,"Five compartment heads are visible along the top ridge of the tanker truck, spaced approximately 120 pixels apart."
2026-07-01-18-41.mp4,5,1.0,105;215;325;435;545,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-18-51.mp4,4,1.0,115;295;435;585,60.0,gemini-3.1-flash-lite,"Four compartment heads are visible along the top ridge of the tanker, partially obscured by the loading dock structure."
2026-07-01-19-01.mp4,4,1.0,135;265;405;545,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-19-11.mp4,5,1.0,145;248;352;455;558,60.0,gemini-3.1-flash-lite,"Five compartment heads are visible along the top ridge of the tanker, spaced relatively evenly across the frame."
2026-07-01-19-21.mp4,5,1.0,135;248;362;475;588,60.0,gemini-3.1-flash-lite,"Five distinct compartment head protrusions are visible along the top ridge of the tanker, spaced relatively evenly across the frame."
2026-07-01-19-31.mp4,5,1.0,105;225;345;465;585,264.5,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-19-41.mp4,5,1.0,105;215;325;435;545,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-19-51.mp4,5,1.0,105;225;345;465;585,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker, partially obscured by vertical loading arms."
